"Term","Contextual note","Time/Region","References"
"riots","The use of “uprisings” sees the civil  unrest in London, Liverpool, Bristol and other parts of Britain in the 1970s  and 1980s as legitimate forms of protest against the actions of the state and  its agents. Referring to them as “riots” frames them simply as aggressive,  illegal events.","Black  history, UK","Black Cultural Archives Glossary [92]"
"sawney","Derogatory term for Scottish people by  English people","Scotland,  England, UK","Wikipedia  – List of ethnic slurs [93]"
"sheep shagger","Term for Welsh and New Zealander  people, in UK and Australia respectively","Wales,  UK, New Zealand","Wikipedia  – List of ethnic slurs [94]"
"wog-box ghetto blaster third world suitcase","","",""
"spic","Racial slur for a Spanish-speaking  person from Central or South America or the Caribbean, especially a Mexican.","Latin  America, Caribbean, Mexico, USA",""
"taff taffy","Derogatory term for Welsh people","Wales,  UK","Wikipedia  – List of ethnic slurs [95]"
"taig Teague teg teig","Northern Irish term for Irish  nationalists","Northern  Ireland",""
"terrorist night club bomber","Often used as Islamophobic terms","UK,  USA",""
"touch of the tar brush lick of the tar brush","Used in the UK to suggest a  predominantly white person has suspected African ancestry","UK,  Black history",""
"wasian","Meaning mixed white and Asian","",""
"wetback","USA term for undocumented immigrants","USA","Wikipedia  – List of ethnic slurs [96]"
"whigger wigger","USA term for Irish people. Also refers  to white youth who imitate urban Black youth.","USA,  Ireland","Wikipedia  – List of ethnic slurs [97]"
"wog/s","A term originally used by the British  Army in North Africa in World War II, mainly against dark-skinned Arabs. After the war, it came to be used as a  slur in the UK against anyone with dark skin. In Australia, it is used to refer to  southern European immigrants.","North  Africa, UK, Europe, Australia, WWII-, Black history","David  Pilgrim – Ferris State University – The Golliwog Caricature [98]"
"zip/s zipperhead/s","Derogatory USA term for East Asian  people. Also used as a derogatory  slur by Italian American and Sicilian American mobsters in reference to newer  immigrant Sicilian and Italian mafiosi.","USA,  Asian American history, Italian American history, Italy","Wikipedia  – List of ethnic slurs [99] Racial  slur database - Zip [100]"
